epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2712.09,1.53065,1.19394,0.0043,0.77749,0.57716,0.70729,0.43844,1.54495,1.00612,0.00624,0.00741194,0.00741194,0.00741194
43,2776.77,1.57625,1.23226,0.00445,0.66683,0.65657,0.71419,0.43765,1.56807,0.96875,0.00625,0.00729725,0.00729725,0.00729725
44,2841.11,1.51077,1.18289,0.00431,0.65759,0.6756,0.72152,0.44799,1.52338,0.96163,0.00618,0.00718103,0.00718103,0.00718103
45,2906.02,1.51669,1.12375,0.00415,0.62855,0.73985,0.74057,0.4641,1.5209,0.89743,0.00617,0.00706335,0.00706335,0.00706335
46,2970.28,1.53936,1.16023,0.00428,0.70555,0.67081,0.74153,0.4714,1.49298,0.95378,0.00597,0.00694428,0.00694428,0.00694428
47,3033.85,1.5219,1.16822,0.00422,0.69219,0.7424,0.7723,0.47538,1.5598,0.91572,0.00634,0.00682392,0.00682392,0.00682392
48,3097.72,1.50726,1.13345,0.00413,0.70496,0.70233,0.7478,0.46039,1.55491,0.94563,0.0063,0.00670234,0.00670234,0.00670234
49,3161.14,1.49041,1.11961,0.00412,0.68024,0.70369,0.76326,0.47275,1.55198,0.93428,0.00625,0.00657963,0.00657963,0.00657963
50,3224.54,1.48585,1.09128,0.00414,0.7039,0.73534,0.7715,0.48427,1.50785,0.87802,0.00613,0.00645588,0.00645588,0.00645588
51,3288.58,1.50038,1.11821,0.00412,0.67619,0.67472,0.72399,0.45163,1.55384,0.86316,0.00628,0.00633115,0.00633115,0.00633115
52,3354.27,1.4834,1.07373,0.0042,0.72279,0.70288,0.77207,0.48013,1.54447,0.85053,0.00618,0.00620555,0.00620555,0.00620555
53,3418.99,1.48337,1.08219,0.0041,0.69174,0.70257,0.76287,0.45491,1.60815,0.93151,0.00661,0.00607916,0.00607916,0.00607916
54,3485.38,1.4783,1.08762,0.00396,0.73451,0.69183,0.7569,0.48451,1.50738,0.83313,0.00601,0.00595207,0.00595207,0.00595207
55,3551.13,1.46252,1.04799,0.00417,0.6701,0.75136,0.76794,0.4716,1.54794,0.87765,0.00623,0.00582435,0.00582435,0.00582435
56,3615.18,1.48987,1.05952,0.00412,0.72791,0.7511,0.80884,0.50456,1.52568,0.79376,0.00614,0.0056961,0.0056961,0.0056961
57,3678.98,1.46641,1.0446,0.00394,0.68803,0.73162,0.77861,0.47896,1.56765,0.8682,0.00644,0.00556742,0.00556742,0.00556742
58,3742.49,1.457,1.01496,0.00405,0.70216,0.78774,0.8055,0.51212,1.50855,0.81033,0.00614,0.00543837,0.00543837,0.00543837
59,3807.97,1.47064,1.04502,0.00402,0.76514,0.75437,0.81672,0.51636,1.50734,0.7715,0.00602,0.00530906,0.00530906,0.00530906
60,3873.19,1.46798,1.04961,0.00415,0.76413,0.7576,0.80613,0.5126,1.51876,0.79743,0.00606,0.00517958,0.00517958,0.00517958
61,3936.95,1.44985,1.01135,0.00402,0.72669,0.75286,0.80068,0.5055,1.48979,0.75559,0.00598,0.00505,0.00505,0.00505
62,4000.44,1.4517,1.03999,0.00408,0.74564,0.76408,0.82053,0.52092,1.48156,0.7561,0.00599,0.00492042,0.00492042,0.00492042
63,4065.53,1.46214,1.02386,0.00408,0.79976,0.72002,0.82025,0.53002,1.47242,0.74792,0.00604,0.00479094,0.00479094,0.00479094
64,4130.68,1.40743,0.97381,0.004,0.75759,0.77756,0.82741,0.5217,1.51719,0.7867,0.00613,0.00466163,0.00466163,0.00466163
65,4196.17,1.43961,1.02914,0.00407,0.79979,0.75911,0.83759,0.53341,1.50682,0.74555,0.0062,0.00453258,0.00453258,0.00453258
66,4263.04,1.44964,0.99781,0.0039,0.78843,0.79947,0.84931,0.54728,1.49038,0.7122,0.00597,0.0044039,0.0044039,0.0044039
67,4330.11,1.43986,0.96268,0.0039,0.7735,0.80151,0.84074,0.53895,1.47293,0.74525,0.00603,0.00427565,0.00427565,0.00427565
68,4394.18,1.40447,0.93843,0.00394,0.76094,0.82466,0.84704,0.53192,1.49755,0.70645,0.0061,0.00414793,0.00414793,0.00414793
69,4458.96,1.40756,0.93391,0.00384,0.81217,0.77168,0.84083,0.53613,1.47927,0.6945,0.00589,0.00402084,0.00402084,0.00402084
70,4522.7,1.4303,0.9518,0.00404,0.80447,0.75553,0.83429,0.54514,1.45199,0.70827,0.00589,0.00389445,0.00389445,0.00389445
71,4586.9,1.39914,0.9237,0.00383,0.78656,0.82207,0.85024,0.55369,1.42868,0.6766,0.00571,0.00376885,0.00376885,0.00376885
72,4653.58,1.43416,0.96158,0.00394,0.77889,0.79665,0.84585,0.53873,1.48771,0.70724,0.00599,0.00364412,0.00364412,0.00364412
73,4719.5,1.40213,0.91816,0.00385,0.80281,0.7789,0.8504,0.55086,1.44765,0.70014,0.00571,0.00352037,0.00352037,0.00352037
74,4785.03,1.39454,0.8987,0.00389,0.77437,0.80485,0.85088,0.53808,1.49049,0.6784,0.00604,0.00339766,0.00339766,0.00339766
75,4851.76,1.40878,0.89746,0.00378,0.80011,0.80102,0.86441,0.56052,1.45782,0.69767,0.00584,0.00327608,0.00327608,0.00327608
