epoch,lr,train_loss,val_loss,is_best
0,0.001,0.28306467235905786,0.20427679316679637,True
1,0.001,0.20492028487614222,0.20141048176129658,True
2,0.001,0.1911024541957038,0.17890677119731904,True
3,0.001,0.16997495769432613,0.1697933516661326,True
4,0.001,0.16566369621072496,0.16512030726273855,True
5,0.001,0.16465415088517324,0.1690293814531962,False
6,0.001,0.1646270024565288,0.16262457142035167,True
7,0.001,0.1632160600927898,0.16256852929910023,True
8,0.001,0.1621566472012656,0.16277445461114248,False
9,0.001,0.1618271022599084,0.16503966767311096,False
10,0.001,0.16112488470690592,0.1593954527759552,True
11,0.001,0.1581500513778414,0.15875140816529593,True
12,0.001,0.15584931987353734,0.15528501084486643,True
13,0.001,0.15437794741358077,0.1547895633983612,True
14,0.001,0.15309723680496215,0.1554805440123876,False
15,0.001,0.15116131065504892,0.1511468394056956,True
16,0.001,0.14853099410874504,0.14953908754984538,True
17,0.001,0.14410102011408124,0.13739893027941386,True
18,0.001,0.14062249833175114,0.1281568871808052,True
19,0.001,0.12769942476102283,0.10666606010754903,True
20,0.001,0.10410871266365052,0.10212183149019877,True
21,0.001,0.09931717955350876,0.09627410307486851,True
22,0.001,0.09363494154896054,0.09489684967199961,True
23,0.001,0.0917966051193646,0.08956166721423467,True
24,0.001,0.09114903923988342,0.09226411632299424,False
25,0.001,0.0913110394031661,0.0910429371492068,False
26,0.001,0.09327594829150608,0.09112861866235733,False
27,0.001,0.09010920633009502,0.09116694997231166,False
28,0.001,0.09040781324897494,0.0893542406964302,True
29,0.001,0.09029032625368663,0.0906817471241951,False
30,0.001,0.08983737592015947,0.08952196661392847,False
31,0.001,0.09031172534091132,0.0893821866496404,False
32,0.001,0.08994264621870858,0.09047218506892522,False
33,0.001,0.08934485687902996,0.0905745963470141,False
34,0.001,0.08970586035047258,0.09003479878187179,False
35,0.001,0.08985911408254078,0.08914277883847554,True
36,0.001,0.08947072674274445,0.08929563206672668,False
37,0.001,0.09000492768423898,0.09015843273560206,False
38,0.001,0.08963884067126683,0.08955439826726913,False
39,0.001,0.08979809571743011,0.0900680999191602,False
40,0.001,0.08950632880040578,0.08966352800448736,False
41,0.001,0.08973797098466328,0.08916883322079977,False
42,0.001,0.08944786707878113,0.08904981172720591,True
43,0.001,0.08915875705071857,0.08940880136966706,False
44,0.001,0.08989793652125767,0.09108304193496704,False
45,0.001,0.08940854719298226,0.08969956014792124,False
46,0.001,0.08953135065214975,0.09302145803689957,False
47,0.001,0.08932654852424349,0.08999395790338516,False
48,0.001,0.08959307984488352,0.09088735734542211,False
49,0.001,0.08915518769741058,0.08887332183440526,True
50,0.001,0.08903433136258807,0.08860378922462464,True
51,0.001,0.08937592579024178,0.08876005549907684,False
52,0.001,0.0890458967747007,0.0900629049317042,False
53,0.001,0.08927046376398631,0.08893168785333633,False
54,0.001,0.08913650312662125,0.08873543942610423,False
55,0.001,0.08939163284540176,0.08904463531176249,False
56,0.001,0.08926896908453533,0.09086518342177073,False
57,0.001,0.08912557999202184,0.09034630381504695,False
58,0.001,0.08911823580605643,0.09070067608594895,False
59,0.001,0.08915507643188748,0.09016546791871388,False
60,0.001,0.08917552436624254,0.08932884254058202,False
61,0.0005,0.08915977152551924,0.08908165989557902,False
62,0.0005,0.0876882655617169,0.08760331485350926,True
63,0.0005,0.08757182651792254,0.08787717502911886,False
64,0.0005,0.08764747199978147,0.0880094371898969,False
65,0.0005,0.08772798461130688,0.0877069878133138,False
66,0.0005,0.08730089113269533,0.08740734701236089,True
67,0.0005,0.08732311199051994,0.08707205017964045,True
68,0.0005,0.08699407512801034,0.08706722402572632,True
69,0.0005,0.08668985726288386,0.08656753568013509,True
70,0.0005,0.08657975402423314,0.08768742381731669,False
71,0.0005,0.08597941073826382,0.08577312214851379,True
72,0.0005,0.08568850443363189,0.08570953238964081,True
73,0.0005,0.0850465697131838,0.08541399711608887,True
74,0.0005,0.08468214889356068,0.08475654560645421,True
75,0.0005,0.08380079111848558,0.08310292408863704,True
76,0.0005,0.08226608441216605,0.08142571360270183,True
77,0.0005,0.07869240399360657,0.07588015986363093,True
78,0.0005,0.07089579755033766,0.06540608725627263,True
79,0.0005,0.058851328202486036,0.05278612789312998,True
80,0.0005,0.04969704575283187,0.04823368313471476,True
81,0.0005,0.04488890975849969,0.04231970326503118,True
82,0.0005,0.03860618242485182,0.03009208770175775,True
83,0.0005,0.03460026164369924,0.024153777100841205,True
84,0.0005,0.018489353328900678,0.017258871309757232,True
85,0.0005,0.013091163518641676,0.010751500268081825,True
86,0.0005,0.010206694878254617,0.009902647366027037,True
87,0.0005,0.009570313992159707,0.009685396771232287,True
88,0.0005,0.009163966050786631,0.00937673707395792,True
89,0.0005,0.00888955589711666,0.008817542980710665,True
90,0.0005,0.008495174044966698,0.008478800931970279,True
91,0.0005,0.00839520412747349,0.00853575230161349,False
92,0.0005,0.008203269599718706,0.007908285316924253,True
93,0.0005,0.007959180994757583,0.00787422208632032,True
94,0.0005,0.007680193451557841,0.007569307358165582,True
95,0.0005,0.007493571890571288,0.007625975590646267,False
96,0.0005,0.007296457279154233,0.00702259586930275,True
97,0.0005,0.009328464084012169,0.1080163992579778,False
98,0.0005,0.022063489673307964,0.006814873626629511,True
99,0.0005,0.006418939141567264,0.006419307205776373,True
100,0.0005,0.006057617516773087,0.006041862379014492,True
101,0.0005,0.005830564014400755,0.005872735494126876,True
102,0.0005,0.005531611834274871,0.005404502829760313,True
103,0.0005,0.005240520058891603,0.005035689168771108,True
104,0.0005,0.004921194880817618,0.00510531100700299,False
105,0.0005,0.004879875164883477,0.004484033621748288,True
106,0.0005,0.0044525425931385585,0.004250909412950277,True
107,0.0005,0.004186662989897387,0.004544627604434887,False
108,0.0005,0.004082531619987318,0.003809523223042488,True
109,0.0005,0.003771119708120823,0.003451906445597609,True
110,0.0005,0.003415287768585341,0.003104692246342699,True
111,0.0005,0.002986444424529161,0.002563281228442987,True
112,0.0005,0.002956562398150563,0.0026262148798257114,False
113,0.0005,0.002413650867747409,0.002212349203154445,True
114,0.0005,0.0021138455961059247,0.0014589606780683,True
115,0.0005,0.0017096624370025737,0.0018414922760551175,False
116,0.0005,0.0013735898844578437,0.0011668829680482546,True
117,0.0005,0.0012701174244497504,0.0009925953326622645,True
118,0.0005,0.0011728312215209006,0.0014720606082181135,False
119,0.0005,0.0011268518141896596,0.0008224639406241476,True
120,0.0005,0.0011681399151310325,0.0006967139640636742,True
121,0.0005,0.0009163461863701897,0.0006802966682861248,True
122,0.0005,0.0009221120871816363,0.0006236351810581983,True
123,0.0005,0.0009976474594138563,0.000997732179996868,False
124,0.0005,0.0007786517433955202,0.0005562683370895683,True
125,0.0005,0.0008528869529334562,0.0017966624540959794,False
126,0.0005,0.0008262096749512213,0.0007535800734410683,False
127,0.0005,0.0006971463421599142,0.0008639330669244131,False
128,0.0005,0.0007923633533822639,0.0018236432643110553,False
129,0.0005,0.0008312912468346102,0.000610808653763185,False
130,0.0005,0.0006763022947577494,0.0005110995647497475,True
131,0.0005,0.0007729138080110507,0.0007600859608128667,False
132,0.0005,0.0005781210076210222,0.000405358425732702,True
133,0.0005,0.0006865304690426481,0.0003840521688417842,True
134,0.0005,0.0006580874213895627,0.0004312618014713128,False
135,0.0005,0.0006630046727880835,0.0006618038679038485,False
136,0.0005,0.0009155889789134796,0.0003815620497862498,True
137,0.0005,0.0004528862026839384,0.0005132051978260279,False
138,0.0005,0.0006700007658651365,0.00048168731178467475,False
139,0.0005,0.0005755266187366631,0.0003927444693011542,False
140,0.0005,0.0005801292261574417,0.00033357536511185266,True
141,0.0005,0.000703518242548619,0.00044807093819913764,False
142,0.0005,0.0005214576804291989,0.0003343687470629811,False
143,0.0005,0.0005983631496024983,0.0024688784816116094,False
144,0.0005,0.0005680645855117057,0.00028798519630916417,True
145,0.0005,0.0005540867432739054,0.0003276140623353422,False
146,0.0005,0.0006630255218542048,0.0002978452832562228,False
147,0.0005,0.0005653486308016415,0.0006354420539177954,False
148,0.0005,0.00046402979637097033,0.0007759712488266329,False
149,0.0005,0.0007207501635088453,0.0004714918834157288,False
150,0.0005,0.0003584197974045362,0.0003488882237424453,False
151,0.0005,0.0005844574840446668,0.000820422213425239,False
152,0.0005,0.000701447429825951,0.00041028425499486427,False
153,0.0005,0.0003383075589553586,0.0002672025093032668,True
154,0.0005,0.000597849688774773,0.0002569572159958382,True
155,0.0005,0.0004505808085256389,0.0003009332562610507,False
156,0.0005,0.00047736569627321193,0.000594596311909457,False
157,0.0005,0.0004999516548535654,0.0002275806777520726,True
158,0.0005,0.0006874490737016978,0.00026227060072744885,False
159,0.0005,0.00043156620746744533,0.0005431476854470869,False
160,0.0005,0.0005722479624620506,0.0009439326538145542,False
161,0.0005,0.00034398818553558417,0.00030334307964270316,False
162,0.0005,0.0006420175484394921,0.0006316504263194899,False
163,0.0005,0.0004224537845607847,0.00040697337301447985,False
164,0.0005,0.00047817748267469664,0.00072768919777746,False
165,0.0005,0.00040289147721869604,0.0013486077323680123,False
166,0.0005,0.0005808805464607265,0.00037809608199633655,False
167,0.0005,0.00029941922652668184,0.0004831463097718855,False
168,0.00025,0.0006502538465242833,0.00038585992716563247,False
169,0.00025,0.00016610324759501965,0.0001472625717194751,True
170,0.00025,0.000136117931158681,0.00014805047072159746,False
171,0.00025,0.00013483990893033997,0.00014002045075253895,True
172,0.00025,0.00013365104678752168,0.00014117172316337626,False
173,0.00025,0.00013257176130943534,0.000137275055591017,True
174,0.00025,0.00013042651356929647,0.00013862091714826724,False
175,0.00025,0.00013000367784606558,0.00013459142866699647,True
176,0.00025,0.00012842877128228013,0.00013293856407981365,True
177,0.00025,0.00012762573852869016,0.0001363583848485723,False
178,0.00025,0.00012583696364025984,0.00014084813653801877,False
179,0.00025,0.00012623280407262168,0.0001259849480073899,True
180,0.00025,0.00012636361077228295,0.00013990217487172535,False
181,0.00025,0.00012500389522240898,0.00013092631216005734,False
182,0.00025,0.0001282741052683975,0.00014100509520464886,False
183,0.00025,0.0001257846069236153,0.00013154371249334267,False
184,0.00025,0.00015024732091397579,0.00016569663205494482,False
185,0.00025,0.0002129128592448043,0.00040909406618215143,False
