epoch,train_loss,val_loss,lr
1,0.2888928560250146,0.2025599701976776,0.001
2,0.2047428748709815,0.20317264938195548,0.001
3,0.1896227227973938,0.17930345742225648,0.001
4,0.1690381265619823,0.16644901192506154,0.001
5,0.1653261375434058,0.16462765009562175,0.001
6,0.16435647952216012,0.16440077214082083,0.001
7,0.16396130436965398,0.16412199745019276,0.001
8,0.1637759603221076,0.16266665606339772,0.001
9,0.16158126199109213,0.16121631172498066,0.001
10,0.16083441856656755,0.15958758901119233,0.001
11,0.15900109966141837,0.15578764782587687,0.001
12,0.15602091776098523,0.15482172147274018,0.001
13,0.1539365226513999,0.151596440466245,0.001
14,0.14867828581060683,0.1454093005434672,0.001
15,0.1439106680556706,0.14014685062249502,0.001
16,0.13491198427336556,0.1261678617111842,0.001
17,0.11823171018021447,0.10752549841562907,0.001
18,0.10389634197746005,0.09722548852364223,0.001
19,0.10016808410133635,0.09607192823807398,0.001
20,0.09393030321598053,0.09269444091558457,0.001
21,0.09248912326914924,0.09272145824511846,0.001
22,0.09196067556687763,0.09453220311244329,0.001
23,0.0917241766326768,0.09153413992087046,0.001
24,0.09121099248886108,0.09191104753335316,0.001
25,0.09123414648805346,0.0923782930080096,0.001
26,0.09107053590331758,0.09143745752970378,0.001
27,0.09103840896095548,0.09080355712731679,0.001
28,0.09047994196687426,0.09257780781507492,0.001
29,0.09043952840805054,0.09020695617119472,0.001
30,0.08983765608549119,0.08918817733287811,0.001
31,0.09005380670002529,0.08969620555639267,0.001
32,0.09053069499526704,0.0898717108019193,0.001
33,0.08984308656590326,0.09054017371972402,0.001
34,0.09019959475653512,0.08978630023876825,0.001
35,0.09003442471402032,0.09249952589591344,0.001
36,0.09080559828622001,0.0895479685306549,0.001
37,0.08981862450429372,0.08970510255654653,0.001
38,0.08983458919286728,0.08991509811798731,0.001
39,0.08961717796461922,0.08960488149642944,0.001
40,0.08954645624671663,0.09022777561187745,0.001
41,0.08962392051117761,0.08966919190486272,0.0005
42,0.08812420094047274,0.08795976600011189,0.0005
43,0.08808064773457391,0.08785762409845987,0.0005
44,0.08807017382315227,0.08869270691871643,0.0005
45,0.08811755787713187,0.088266431072553,0.0005
46,0.08819160363435745,0.08848539598226547,0.0005
47,0.08822773078169141,0.08800786920626959,0.0005
48,0.08844059396403177,0.08920115696748097,0.0005
49,0.0882288220848356,0.08856928611119588,0.0005
50,0.08820665281091418,0.08809612463156383,0.0005
51,0.08827757052932467,0.08882302938063939,0.0005
52,0.08843148329700742,0.08839367951393128,0.0005
53,0.0883870449938093,0.08845058892250061,0.0005
54,0.0882507077397619,0.08839035370270411,0.00025
55,0.08758002677542823,0.08781745738903682,0.00025
56,0.08751141661269324,0.08765867909193038,0.00025
57,0.08751014497791018,0.08782227102677027,0.00025
58,0.08749548132828304,0.0878017115441958,0.00025
59,0.08757732159205846,0.0879934817592303,0.00025
60,0.08760464030878884,0.08768950582186381,0.00025
61,0.08757728811366218,0.08820699828624726,0.00025
62,0.08754466374567577,0.08762390666166942,0.00025
63,0.08764529069730213,0.0877367345905304,0.00025
64,0.08757152594396046,0.08813764381249746,0.00025
65,0.08769914304562977,0.08786291347344716,0.00025
66,0.08759031435694013,0.0882288501016299,0.00025
67,0.08760754182849612,0.08784084326903026,0.00025
68,0.0876231807763236,0.08821818454345068,0.00025
69,0.08768243017128535,0.08839502001523972,0.00025
70,0.08766671828406197,0.0877991014210383,0.00025
71,0.08769560169798987,0.08800606804847717,0.00025
72,0.08762458834239414,0.0879087077832222,0.00025
73,0.08779253002302988,0.08780490498463313,0.000125
74,0.0872060640495164,0.08715890114148458,0.000125
75,0.08717738635676248,0.08746360400676727,0.000125
76,0.08716256885528564,0.08722922406673432,0.000125
77,0.08714656371116639,0.08716706151167551,0.000125
78,0.0871447567156383,0.0873334577592214,0.000125
79,0.08715886706045696,0.08727880952119828,0.000125
80,0.08719088950668062,0.08738203292767206,0.000125
81,0.08719376698255539,0.08727964203437169,0.000125
82,0.08724321382931301,0.08725106455008189,0.000125
83,0.08724027624470847,0.08747521922667821,0.000125
84,0.0872406201669148,0.08789292520125706,0.000125
85,0.08723246764012746,0.08744463021039962,6.25e-05
86,0.08696660073825291,0.08714574575106303,6.25e-05
87,0.08691827733584813,0.08718767672936122,6.25e-05
88,0.08691617845092502,0.08711200255393982,6.25e-05
89,0.08694221319198608,0.08706690205097198,6.25e-05
90,0.08695932958228247,0.08712368484656016,6.25e-05
91,0.08692480738639831,0.08709329287608465,6.25e-05
92,0.08690896294321333,0.08718291640679042,6.25e-05
93,0.08698696757044111,0.08720154546022416,6.25e-05
94,0.08698244252477373,0.08737093434810639,6.25e-05
95,0.0870025187938554,0.08725972526868185,6.25e-05
96,0.08694362195491791,0.08711741816282273,6.25e-05
