epoch,train_accuracy,train_loss,val_accuracy,val_loss,val_macro_f1,val_macro_precision,val_macro_recall
1.0,0.8627571384709856,0.470017144595475,0.9434889434889435,0.2777949489598192,0.8198806754980281,0.790948090948091,0.859513834615217
2.0,0.9748234571691741,0.24924204069154557,0.9631449631449631,0.2724196026307652,0.8321337147239581,0.836066359800537,0.8332030765205666
3.0,0.9818851704022106,0.2264590035983306,0.9631449631449631,0.2612665706389659,0.8517572486683251,0.8511122001688038,0.8541492664808411
4.0,0.9852625115136628,0.2121979041739333,0.9705159705159705,0.2397467898209499,0.8818275346053124,0.9304374975607853,0.849919553839669
5.0,0.9901750076757753,0.20745425682090562,0.9705159705159705,0.24139698387949707,0.864303479450311,0.8818275346053124,0.849919553839669
6.0,0.9880257906048511,0.20363276563687746,0.9705159705159705,0.23988189231558574,0.8795860998033539,0.8890772619254622,0.8708657437999435
7.0,0.9892539146453792,0.19842979562659552,0.9754299754299754,0.23545255019565178,0.9051616143793377,0.9427748495060341,0.8765925712247608
8.0,0.9920171937365674,0.19650500798229062,0.9754299754299754,0.23939664343358258,0.9042867388986306,0.9314337003992176,0.8875811030348161
9.0,0.9923242247466995,0.1925087029450065,0.9705159705159705,0.2324036912997173,0.8756347216643351,0.9025258799171842,0.8572452417130393
10.0,0.9944734418176235,0.18965882718068966,0.972972972972973,0.22436732302719603,0.8590895363053335,0.8992881770659548,0.8336681995601456
11.0,0.9960085968682837,0.18466757503725614,0.9754299754299754,0.23102179275830195,0.8586994673951196,0.8945844740237264,0.838363035240897
12.0,0.9975437519189438,0.1800900733897318,0.9852579852579852,0.21365891096779405,0.9462810048568562,0.9562693498452012,0.9372642938683143
13.0,0.9972367209088118,0.18232698024398972,0.972972972972973,0.2462683983458348,0.882871421432141,0.8875627964413012,0.8792234234173798
14.0,0.9966226588885477,0.1839502590966071,0.9680589680589681,0.25089085369350284,0.8723475469631031,0.8646377069912323,0.8808222838659328
15.0,0.9978507829290758,0.181244430419013,0.9754299754299754,0.22338117172149827,0.9116751697094911,0.913093196112064,0.9121901369317756
16.0,0.9975437519189438,0.17895183950378957,0.9828009828009828,0.21870015543274562,0.9435271317829458,0.9518869886648327,0.9362323021242482
17.0,0.9984648449493398,0.17602647947576977,0.9803439803439803,0.2243816168653877,0.916860465116279,0.9241092108870549,0.9105912764832226
