epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,887.097,1.22862,0.54228,0.00515,0.83841,0.74522,0.81743,0.53124,1.24929,0.64082,0.00638,0.0005941,0.0005941,0.0005941
43,908.428,1.21209,0.53115,0.0049,0.81754,0.72738,0.78725,0.5083,1.26293,0.63749,0.00628,0.0005842,0.0005842,0.0005842
44,929.561,1.1652,0.51237,0.00503,0.81878,0.69374,0.77257,0.51511,1.25527,0.64348,0.00635,0.0005743,0.0005743,0.0005743
45,950.914,1.18023,0.49858,0.005,0.85449,0.67556,0.78203,0.50683,1.25769,0.63227,0.00618,0.0005644,0.0005644,0.0005644
46,972.352,1.18161,0.51681,0.00496,0.81081,0.76326,0.79697,0.50021,1.27434,0.60305,0.00649,0.0005545,0.0005545,0.0005545
47,993.896,1.19082,0.52149,0.00505,0.84321,0.73788,0.8006,0.51097,1.29246,0.60385,0.00643,0.0005446,0.0005446,0.0005446
48,1015.05,1.15834,0.50529,0.0044,0.8904,0.68068,0.79152,0.51626,1.28946,0.63874,0.00644,0.0005347,0.0005347,0.0005347
49,1036.58,1.15589,0.50508,0.00482,0.88403,0.67894,0.78254,0.50855,1.28318,0.70178,0.00641,0.0005248,0.0005248,0.0005248
50,1057.66,1.1406,0.48807,0.00483,0.89829,0.71929,0.79583,0.52863,1.26615,0.62285,0.00656,0.0005149,0.0005149,0.0005149
51,1078.8,1.15075,0.50237,0.00482,0.88828,0.73627,0.80723,0.5284,1.256,0.6414,0.00642,0.000505,0.000505,0.000505
52,1099.89,1.17502,0.52145,0.0048,0.8837,0.73426,0.81358,0.53899,1.26326,0.64464,0.00636,0.0004951,0.0004951,0.0004951
53,1121.21,1.16015,0.50721,0.00462,0.92869,0.69597,0.82628,0.54559,1.26505,0.60046,0.00623,0.0004852,0.0004852,0.0004852
54,1142.38,1.12445,0.46362,0.00481,0.81759,0.71875,0.81176,0.52428,1.33277,0.62195,0.00659,0.0004753,0.0004753,0.0004753
55,1163.44,1.10966,0.46183,0.00493,0.87149,0.77009,0.83992,0.54758,1.28142,0.55661,0.00637,0.0004654,0.0004654,0.0004654
56,1184.72,1.14208,0.48669,0.00474,0.91695,0.71947,0.82641,0.53996,1.25659,0.5907,0.00623,0.0004555,0.0004555,0.0004555
