epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1502.46,1.39523,1.20073,1.2081,0.60748,0.54786,0.58729,0.35687,1.48295,1.18332,1.2246,0.00643101,0.00643101,0.00643101
43,1536.93,1.3944,1.16485,1.20538,0.56076,0.61367,0.61059,0.37744,1.44202,1.14519,1.21161,0.00628101,0.00628101,0.00628101
44,1571.66,1.37347,1.15085,1.20351,0.64568,0.5638,0.63345,0.38454,1.45184,1.13662,1.22426,0.00612981,0.00612981,0.00612981
45,1607.2,1.3727,1.12603,1.19278,0.61459,0.56592,0.62224,0.3823,1.4549,1.15559,1.2089,0.00597754,0.00597754,0.00597754
46,1643.06,1.37971,1.16148,1.19766,0.50242,0.63633,0.59983,0.37222,1.429,1.15947,1.20122,0.00582435,0.00582435,0.00582435
47,1677.97,1.38026,1.12227,1.2101,0.53018,0.66522,0.61643,0.36441,1.53642,1.18486,1.24377,0.0056704,0.0056704,0.0056704
48,1712.58,1.373,1.17501,1.20886,0.56962,0.60991,0.60152,0.36677,1.48208,1.14421,1.22529,0.00551584,0.00551584,0.00551584
49,1747.72,1.38271,1.13775,1.20513,0.54388,0.62943,0.62098,0.38219,1.52081,1.1146,1.23432,0.00536081,0.00536081,0.00536081
50,1783.33,1.33592,1.10834,1.18452,0.59972,0.6489,0.64797,0.40312,1.44524,1.12617,1.21294,0.00520548,0.00520548,0.00520548
51,1818.51,1.36967,1.11725,1.20204,0.5915,0.61947,0.6308,0.39019,1.4586,1.09316,1.21451,0.00505,0.00505,0.00505
52,1853.21,1.36395,1.10543,1.198,0.5896,0.61305,0.62838,0.3679,1.55924,1.1331,1.25741,0.00489452,0.00489452,0.00489452
53,1887.86,1.34185,1.09128,1.19333,0.5947,0.63653,0.63765,0.38908,1.51437,1.13061,1.23319,0.00473919,0.00473919,0.00473919
54,1922.72,1.3267,1.06635,1.17914,0.59461,0.62262,0.65149,0.39079,1.53337,1.1095,1.24131,0.00458416,0.00458416,0.00458416
55,1958.4,1.34024,1.06291,1.1887,0.57606,0.63998,0.64302,0.39531,1.45275,1.1109,1.20729,0.0044296,0.0044296,0.0044296
56,1993.18,1.3377,1.0646,1.18831,0.64209,0.64215,0.66226,0.39913,1.49622,1.07201,1.22491,0.00427565,0.00427565,0.00427565
57,2027.68,1.30573,1.01977,1.16964,0.62403,0.6669,0.63902,0.38559,1.49399,1.07346,1.22265,0.00412246,0.00412246,0.00412246
58,2062.52,1.34945,1.03836,1.18007,0.62595,0.68039,0.66593,0.3946,1.50284,1.0781,1.23153,0.00397019,0.00397019,0.00397019
59,2096.96,1.33777,1.06466,1.19578,0.64904,0.61431,0.65004,0.40672,1.44044,1.0872,1.19819,0.00381899,0.00381899,0.00381899
60,2131.51,1.31285,1.0196,1.17563,0.58869,0.64688,0.6427,0.39735,1.45351,1.13615,1.21088,0.00366899,0.00366899,0.00366899
61,2165.98,1.33731,1.03974,1.17707,0.60796,0.63002,0.64896,0.39461,1.50566,1.11072,1.22237,0.00352037,0.00352037,0.00352037
62,2200.49,1.31144,1.0355,1.1826,0.63074,0.66494,0.68895,0.43011,1.46923,1.02772,1.21137,0.00337325,0.00337325,0.00337325
63,2235.41,1.29147,1.00941,1.17564,0.64887,0.68429,0.6845,0.43199,1.42823,1.0598,1.20062,0.00322778,0.00322778,0.00322778
64,2270.46,1.30439,1.00548,1.17368,0.63124,0.60719,0.66887,0.40468,1.50088,1.0781,1.23021,0.00308412,0.00308412,0.00308412
65,2306.06,1.29019,0.97312,1.16115,0.6059,0.64864,0.66453,0.4071,1.51493,1.06701,1.23283,0.00294239,0.00294239,0.00294239
66,2341.37,1.30304,0.99757,1.16887,0.64108,0.66788,0.69703,0.42234,1.5358,1.05502,1.24331,0.00280275,0.00280275,0.00280275
67,2376.86,1.29517,0.99278,1.16589,0.62611,0.64435,0.67787,0.42006,1.44924,1.09949,1.20882,0.00266532,0.00266532,0.00266532
68,2412.68,1.29227,0.97731,1.15859,0.71741,0.66706,0.7119,0.44793,1.46665,0.99533,1.21001,0.00253024,0.00253024,0.00253024
69,2448.3,1.28587,0.95724,1.16413,0.69678,0.66929,0.71814,0.44327,1.48852,1.0143,1.22336,0.00239766,0.00239766,0.00239766
70,2484.28,1.26099,0.94029,1.15161,0.66091,0.6821,0.71501,0.45511,1.40403,0.99225,1.19047,0.00226769,0.00226769,0.00226769
71,2519.99,1.28154,0.93732,1.14909,0.67211,0.67167,0.70699,0.44808,1.42411,1.00396,1.19128,0.00214046,0.00214046,0.00214046
72,2555.28,1.25989,0.94217,1.14698,0.64975,0.68385,0.70069,0.44813,1.44145,1.02857,1.20001,0.00201611,0.00201611,0.00201611
73,2590.44,1.26969,0.9294,1.15524,0.68348,0.67315,0.71313,0.45308,1.44143,0.97741,1.20125,0.00189475,0.00189475,0.00189475
74,2625.14,1.27263,0.94397,1.1479,0.68937,0.68522,0.7343,0.46775,1.43569,0.96435,1.19911,0.00177651,0.00177651,0.00177651
75,2660.09,1.25233,0.90617,1.13669,0.66011,0.65046,0.71035,0.44415,1.47439,1.0052,1.21591,0.00166149,0.00166149,0.00166149
76,2694.59,1.2478,0.91228,1.14444,0.68124,0.6617,0.71666,0.44386,1.45938,0.9872,1.21015,0.00154982,0.00154982,0.00154982
77,2729.01,1.26753,0.92851,1.13495,0.71983,0.6449,0.72812,0.45106,1.45357,0.97226,1.20444,0.00144161,0.00144161,0.00144161
78,2763.72,1.25752,0.92084,1.14432,0.66389,0.67982,0.71815,0.44078,1.50389,1.01048,1.23446,0.00133695,0.00133695,0.00133695
79,2798.24,1.24717,0.9042,1.1473,0.68584,0.66539,0.72084,0.46523,1.42816,0.96381,1.19696,0.00123596,0.00123596,0.00123596
80,2832.72,1.2394,0.89284,1.13363,0.64527,0.70255,0.71954,0.45846,1.41552,0.96521,1.19393,0.00113873,0.00113873,0.00113873
81,2885.78,1.18663,0.80492,1.14403,0.63866,0.69933,0.69878,0.44144,1.42648,0.99562,1.19686,0.00104537,0.00104537,0.00104537
82,2919.85,1.1801,0.78718,1.1323,0.65972,0.69924,0.72054,0.45983,1.39272,0.96933,1.1803,0.000955951,0.000955951,0.000955951
83,2954.08,1.14829,0.75581,1.13022,0.6436,0.70196,0.72807,0.4602,1.43173,0.97625,1.19524,0.000870577,0.000870577,0.000870577
84,2988.19,1.1578,0.76609,1.1168,0.68893,0.66849,0.73493,0.46423,1.42003,0.97532,1.19177,0.000789327,0.000789327,0.000789327
85,3022.28,1.15791,0.75101,1.12111,0.68185,0.70227,0.75134,0.47321,1.42835,0.9353,1.19277,0.000712282,0.000712282,0.000712282
86,3056.5,1.1519,0.74657,1.11202,0.7099,0.67351,0.75193,0.47794,1.41148,0.93536,1.1851,0.000639518,0.000639518,0.000639518
87,3090.71,1.1395,0.73384,1.11172,0.72356,0.6585,0.74688,0.4772,1.40341,0.9446,1.18439,0.000571106,0.000571106,0.000571106
88,3125.1,1.14415,0.735,1.1114,0.68916,0.70148,0.75453,0.48111,1.40267,0.9491,1.18501,0.000507115,0.000507115,0.000507115
89,3159.41,1.1307,0.72371,1.10423,0.69344,0.69007,0.75265,0.48421,1.39512,0.93948,1.18021,0.000447606,0.000447606,0.000447606
90,3193.6,1.13177,0.71678,1.11398,0.74081,0.66181,0.75835,0.47825,1.40418,0.92704,1.18411,0.00039264,0.00039264,0.00039264
91,3227.92,1.14082,0.71463,1.10494,0.71827,0.69522,0.75977,0.48956,1.37325,0.91849,1.17367,0.00034227,0.00034227,0.00034227
92,3262.27,1.12282,0.70895,1.10165,0.74946,0.67483,0.76085,0.48566,1.39639,0.93224,1.18213,0.000296546,0.000296546,0.000296546
93,3296.45,1.11871,0.71112,1.09066,0.74819,0.66684,0.76673,0.49059,1.38955,0.92004,1.17671,0.000255513,0.000255513,0.000255513
94,3330.67,1.11941,0.70733,1.10914,0.75245,0.67374,0.76902,0.4959,1.38453,0.91446,1.17478,0.000219212,0.000219212,0.000219212
95,3364.85,1.12707,0.70922,1.10412,0.71454,0.70495,0.75857,0.48349,1.39589,0.926,1.18141,0.000187678,0.000187678,0.000187678
96,3398.93,1.12459,0.71641,1.11662,0.75632,0.66669,0.76009,0.4861,1.40266,0.9221,1.18491,0.000160943,0.000160943,0.000160943
97,3433.26,1.11494,0.68435,1.10031,0.75251,0.6786,0.76532,0.49073,1.40898,0.91724,1.18682,0.000139032,0.000139032,0.000139032
98,3467.35,1.12485,0.70112,1.10433,0.7587,0.66557,0.76831,0.48874,1.39801,0.91298,1.18049,0.000121968,0.000121968,0.000121968
99,3501.42,1.1107,0.69046,1.09884,0.74898,0.6721,0.7655,0.49285,1.38244,0.91145,1.17454,0.000109768,0.000109768,0.000109768
100,3535.61,1.11651,0.69642,1.09538,0.73857,0.68596,0.76873,0.49003,1.40405,0.91128,1.18362,0.000102443,0.000102443,0.000102443
